,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Mã BĐS,Địa chỉ,Giá nhà
0,55.0,2,2,2,11/03/2023,22024930," Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, TPHCM",790 triệu
1,36.0,1,1,2,11/03/2023,21994903," Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",680 triệu
2,60.0,2,2,2,11/03/2023,22038025," Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",780 triệu
3,75.0,2,2,3,11/03/2023,22031736," Cao Lỗ, Phường 4, Quận 8, TPHCM",2 tỷ 450 triệu
4,75.0,2,2,2,11/03/2023,22024813," Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, TPHCM",790 triệu
5,78.5,2,2,2,11/03/2023,22049398," Phan Văn Trị, Phường 10, Quận Gò Vấp, TPHCM",1 tỷ 670 triệu
6,60.0,2,2,2,11/03/2023,21979310," Tăng Nhơn Phú, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 421 triệu
7,96.0,3,2,2,11/03/2023,21961979," Hoàng Hoa Thám, Phường 13, Quận Tân Bình, TPHCM",2 tỷ 135 triệu
8,78.0,2,2,2,11/03/2023,22049560," Cộng Hòa, Phường 12, Quận Tân Bình, TPHCM",1 tỷ 850 triệu
9,54.0,2,2,2,11/03/2023,21979290," Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 396 triệu
10,65.0,2,2,0,11/03/2023,22027899," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",1 tỷ 660 triệu
11,62.0,2,2,2,11/03/2023,21966362," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1 tỷ 750 triệu
12,75.0,2,2,2,11/03/2023,22049607," Võ Văn Kiệt, Phường 16, Quận 8, TPHCM",2 tỷ 140 triệu
13,73.5,2,2,2,11/03/2023,21979375," Tạ Quang Bửu, Phường 5, Quận 8, TPHCM",1 tỷ 934 triệu
14,81.0,2,2,2,11/03/2023,22003653," Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 195 triệu
15,70.0,2,2,2,11/03/2023,21962898," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",3 tỷ 540 triệu
16,75.6,2,2,2,11/03/2023,22049694," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",2 tỷ 220 triệu
17,79.0,2,2,2,11/03/2023,21979338," Lương Định Của, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 236 triệu
18,69.0,2,1,2,11/03/2023,22027807," Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, TPHCM",1 tỷ 850 triệu
19,90.0,2,2,2,11/03/2023,21962894," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 880 triệu
20,65.2,2,2,2,11/03/2023,22049746," Quốc Lộ 1A, Phường Tân Tạo, Quận Bình Tân, TPHCM",1 tỷ 670 triệu
21,79.0,2,2,2,11/03/2023,21979327," Liên Phường, Phường Phú Hữu, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 527 triệu
22,80.0,2,2,2,11/03/2023,22004002," Đường số 62, Phường Bình Trưng Đông, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 840 triệu
23,79.0,2,2,2,11/03/2023,21962420," Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, TPHCM",2 tỷ 157 triệu
24,50.6,2,1,2,11/03/2023,22052424," Cô Giang, Phường Cô Giang, Quận 1, TPHCM",2 tỷ 110 triệu
25,64.0,2,2,2,11/03/2023,21979366," Tân Hòa Đông, Phường 13, Quận 6, TPHCM",1 tỷ 659 triệu
26,76.0,2,2,1,11/03/2023,21481982," Lương Định Của, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",3 tỷ 700 triệu
